"强度","Strength"
"覆盖全局设置","Override Global Settings"
"最大的距离","Max Distance"
"半径","Radius"
"角","Angle"
"混合","Blend"
"类型","Type"
"着色器源码","Shader Source"
"节点树","Node Tree"
"编译错误","Compiler Error"
"材质参数","Shader Parameters"
"New","New"
"错误的着色器扩展，应该是","Wrong shader extension, should be "
"材质","material"
"Malt设置","Malt Settings"
"分配","Assign"
"选择","Select"
"取消选择","Deselect"
"Malt顶点颜色","Malt Vertex Colors"
"只支持Face Corner属性","Only Face Corner attributes are supported"
"Malt管线","Malt Pipeline"
"本地插件","Local Plugins"
"位深度(视口)","Bit Depth (Viewport)"
"管线覆盖","Pipeline Overrides"
"Malt管线重载","Malt Reload Pipeline"
"世界","world"
"管线设置","Pipeline Settings"
"覆盖from","Override From"
"添加一个属性覆盖","Malt Add A Property Override"
"禁用","disabled"
"场景","scene"
"数据","data"
"对象","object"
"距离","Distance"
"Spot角","Spot Angle"
"Spot混合","Spot Blend"
"RenderDoc捕获","RenderDoc Capture"
"Malt统计数据","Malt Stats"
"打印Malt错误","Print Malt Error"
"Malt错误","MALT ERROR"
"错误消息","Error Message"
"Malt回调操作符","Malt Callback Operator"
"自动设置VSCode","Auto setup VSCode"
"在你的.blend文件夹中设置一个VSCode项目","Setups a VSCode project on your .blend file folder"
"RenderDoc路径","RenderDoc Path"
"全局插件","Global Plugins"
"文档路径","Docs Path"
"最大视口渲染帧率","Max Viewport Render Framerate"
"调试模式","Debug Mode"
"开发人员only。不要碰!!","Developers only. Do not touch !!!"
"显示Sockets类型","Show Socket Types"
"显示内部节点","Show Internal Nodes"
"使用子函数循环","Use Subfunction Cycling"
"打开会话日志","Open Session Log"
"开发者设置:","Developer Settings :"
"Malt重载插件","Malt Reload Plugins"
"默认","Default"
"添加自定义Pass","Malt Add Cusstom Pass"
"禁用更新","Disable Updates"
"订阅","Subscribed"
"Malt节点树","Malt Node Tree"
"在复制","On Copy"
"本地库","Local Library"
"Malt节点树UI","Malt Node Tree UI"
"编辑节点树","Edit Node Tree"
"编辑活动组节点的图","Edit the graph of the active group node"
"Set Tree预览","Set Tree Preview"
"设置活动节点的输入Sockets为树预览Sockets","Set an input socket of the active node as the tree preview socket"
"连接到树预览","Connect To Tree Preview"
"将活动节点的输出连接到节点树预览Sockets","Connect an output of the active node to the node tree preview socket"
"周期分类","Cycle Subcategories"
"循环活动子类别节点的子类别","Cycle the subcategories of the active subcategory node"
"添加Malt子类别节点","Add Malt Subcategory Node"
"添加一个新的Malt子类别节点。自动调用子类别循环","Add a new Malt Subcategory node. Automatically invoke subcategory cycling"
"查找和添加节点","Search and Add Node"
"节点类型","Node Type"
"节点类型","Node type"
"未选择节点树","No node tree selected"
"未选择节点树类型","No node tree type selected"
"搜索…(Malt)","Search... (Malt)"
"节点编辑器","Node Editor"
"节点树预览","Node Tree Preview"
"Malt节点Socket","Malt Node Socket"
"数组索引节点","Array Index Node"
"重新加载Sockets","Reload Sockets"
"函数节点","Function Node"
"函数子类节点","Function SubCategory Node"
"Inline代码节点","Inline Code Node"
"IO节点","IO Node"
"自定义Pass","Custom Pass"
"重新加载","Reload"
"Struct节点","Struct Node"
"参数","Parameters"
"灯光组","Light Groups :"
"设置","Settings :"
"背景：","Background:"
"渲染输入","Render Input"
"线条渲染","LineRender"
"超采样AA","SuperSamplingAA"
"屏幕Pass","ScreenPass"
"渲染层","RenderLayers"
"场景光照","SceneLighting"
"副切线","Bitangent"
"切线","Tangent"
"程序化UV","Procedural UV"
"四元数","Quaternion"
"哈希","Hash"
"矩阵","Matrix"
"布尔逻辑","Boolean Logic"
"浮点数","Float"
"整数","Integer"
"沃挪诺伊","Voronoi"
"噪波","Noise"
"曲率","Curvature"
"表面曲率","Surface Curvature"
"边缘光","Rim Light"
"NPR漫射","NPR Diffuse"
"NPR高光","NPR Specular"
"线检测","Line Detection"
"锐化","Sharpen"
"行代码节点","Inline Code"
"数组元素","Array Element"
"纹理","Texturing"
"映射","Mapping"
"Pass信息","Pass Info"
"渲染信息","Render Info"
"时间信息","Time Info"
"按Alpha混合","Alpha Blend"
"HSV调整","HSV Edit"
"凸纹","Bayer Pattern"
"高斯模糊","Gaussian Blur"
"抖动模糊","Jitter Blur"
"方框模糊","Box Blur"
"双边","Bilateral"
"方向对齐-双边","Orientation-Aligned Bilateral"
"各向同性","Isotropic"
"从轴角度","From Axis Angle"
"从方向向量","From Vector Delta"
"从变换","From Translation"
"从四元数","From Quaternion"
"从欧拉角","From Euler"
"从缩放","From Scale"
"是否正交","Is Orthographic"
"点变换","Transform Point"
"方向变换","Transform Direction"
"法向变换","Transform Normal"
"弧度到角度","Radians to Degrees"
"角度到弧度","Degrees to Radians"
"大于等于","Greater or Equal"
"小于等于","Less or Equal"
"模数","Modulo"
"向上取整","Ceil"
"符号","Sign"
"反射","Reflect"
"欧拉旋转","Rotate Axis Angle"
"叉乘","Cross Product"
"取小数","Fractional Part"
"无限","Infinite"
"层混合","Layer Blend"
"梯度渐变","Color Gradient"
"亮度/对比度","Bright/Contrast"
"线性到sRGB","Linear To sRGB"
"sRGB到线性","sRGB To Linear"
"RGB到HSV","RGB To HSV"
"HSV到RGB","HSV To RGB"
"RGB梯度渐变","RGB Gradient"
"RGBA梯度渐变","RGBA Gradient"
"软倒角","Soft Bevel"
"硬倒角","Hard Bevel"
"双面","Double Sided"
"预计算切线","Precomputed Tangents"
"场景按集合剔除","SceneFilter"
"主Pass","MainPass"
"预处理Pass","PrePass"
"接受阴影","Receive Shadow"
"内阴影","Self Shadow"
"透明单层","Transparency Single Layer"
"颜色梯度渐变:","Color Gradient :"
"NPR漫射:","NPR Diffuse :"
"分辨率:","Resolution :"
"样本数","Sample :"
"平滑插值","Smooth Interpolation"
"网格大小","Grid Size"
"样本:","Samples :"
"视图预览:","Viewport :"
"使用材质设置","Inherit from Material"
"开启阴影","Enable Shadows"
"禁用自阴影","Disable Self-Shadows"
"禁用阴影","Disable Shadows"
"沃挪诺伊 F1 3D","Voronoi F1 3D"
"合并矢量","Combine Vector"
"分离矢量","Separate Vector"
"浮点运算-比较","Float Math Compare"
"添加A通道","Append Alpha"
"噪波 FBM 3D","Noise FBM 3D"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""